zipcode,number of violations
10004,1
10307,7
10306,4
10305,2
10301,1
10453,2
11230,11
10455,1
10034,22
10027,10
11225,5
10025,2
11222,10
11220,7
11385,3
10013,17
10012,9
11218,2
10036,10
10014,9
11414,6
11377,8
11693,9
11105,3
11432,3
